rank,model,group,source,CV_MAE,CV_RMSE,CV_MedianAE,CV_R2,CV_F1_3pct,CV_precision_3pct,CV_recall_3pct,folds,total_test_rows
1,Recommended: Empirical Bayes company-history,Recommended,custom recommended,1.5968554405788533,2.879063657374666,0.8873170253362721,-109897.29688078526,0.33529411764705885,0.3560371517027864,0.42810457516339867,17,391
2,Baseline: global median,Baseline,unified script,1.6070047686522186,2.86626309691781,0.9414771643722172,-97294.11733622853,0.0,0.0,0.0,17,391
3,Repo/Baseline: Last Year's Value,Repo baseline,models_baseline.py,1.6328452793462906,3.4658685426477938,0.7654853007238164,-232846.0430836008,0.31011351909184726,0.3756449948400413,0.3758169934640523,17,391
4,Baseline: company median,Baseline,unified script,1.749627425573463,3.01770841374081,0.9520011379928512,-100744.45203262073,0.1854341736694678,0.3235294117647059,0.15359477124183007,17,391
5,Repo MLP bug-faithful alpha=100,Repo regression,mlp.py,1.8493364881744256,2.9396606059330175,1.2582627635477035,-195971.85696674528,0.30726696224784006,0.2767144293614882,0.7287581699346406,17,391
6,Broad Direct Hist Gradient Boosting,Broad model zoo,recommended comparison,1.9096516145459168,3.0638481908057544,1.3781512149825734,-97469.92222957253,0.13793916074010776,0.16302759493890437,0.3749019607843137,17,391
7,Repo Ridge alpha tuned,Repo regression,models_baseline.py,1.947755481917413,2.994690049397658,1.3651118366521409,-357956.9165316972,0.3046094355864098,0.27855029731190717,0.74640522875817,17,391
8,Repo MLP alpha tuned,Repo regression,mlp.py,2.0731558393642984,3.10999746050582,1.4908331602297547,-191626.63179405776,0.2664889292268482,0.2705227262529726,0.6241830065359477,17,391
9,Repo Poisson alpha tuned,Repo regression,poisson.py,2.074643896604705,3.054056831366957,1.495642400333526,-208283.03020400682,0.21114341320132612,0.2213312693498452,0.6535947712418301,17,391
10,Broad Residual Hist Gradient Boosting,Broad residual model,recommended comparison,2.1037754309620835,3.181427812352997,1.566319582440165,-112906.0813721558,0.18511896843059433,0.21928100678957813,0.5481045751633987,17,391
11,Broad Residual Random Forest,Broad residual model,recommended comparison,2.142129151159689,3.2550737828772043,1.5650311688790173,-644428.8139090732,0.3168486575916917,0.2810478434999984,0.761437908496732,17,391
12,Broad Direct Random Forest,Broad model zoo,recommended comparison,2.145645902577906,3.2482894886043425,1.5668073714299935,-634056.0202842907,0.31402631653405644,0.27830829204298047,0.7647058823529411,17,391
13,Broad Residual Gradient Boosting,Broad residual model,recommended comparison,2.1498896417575444,3.238661888131084,1.5992761689235295,-375376.49663772195,0.3321037888839746,0.32543328696848683,0.6764705882352942,17,391
14,Broad Direct Gradient Boosting,Broad model zoo,recommended comparison,2.1832031928762103,3.2674190041725004,1.6475628173855024,-346812.41535298584,0.3215291622721963,0.28579276409266985,0.7058823529411765,17,391
15,Broad Direct XGBoost,Broad model zoo,recommended comparison,2.188225070086661,3.2368187731155262,1.573756311843841,-234265.4962421959,0.3032314609574172,0.2774912985789281,0.7483660130718954,17,391
16,Broad Residual XGBoost,Broad residual model,recommended comparison,2.198784498806415,3.2564818994680684,1.5913432562930834,-300009.9675308447,0.3061114721419267,0.27918364218303643,0.7483660130718954,17,391
17,Broad Direct Tweedie / NB-style,Broad model zoo,recommended comparison,2.2433561521289853,3.3718301845297454,1.5912645090903088,-262862.5318525008,0.22068669575498934,0.2217249004865104,0.6209150326797386,17,391
18,Repo/Baseline: Global Mean,Repo baseline,models_baseline.py,2.262708848496768,3.1835305163846734,1.685364729037816,-129695.69531770094,0.30880441425333066,0.27520452879855223,0.7647058823529411,17,391
19,Broad Direct Ridge,Broad model zoo,recommended comparison,2.277790078641754,3.332882526132726,1.7194771803849616,-389922.95666807005,0.2155762801583235,0.26828362717636073,0.554640522875817,17,391
20,Broad Residual Ridge,Broad residual model,recommended comparison,2.2915674520644598,3.350836283178702,1.7232724612467192,-393631.94833030656,0.22174088954274712,0.26820875718708537,0.5611764705882353,17,391
21,Repo/Baseline: Historical Average,Repo baseline,models_baseline.py,2.3144042625064247,3.3713529446461306,1.6287491746050706,-193485.61619376508,0.2882838292991666,0.2770897832817337,0.6656209150326797,17,391
22,Broad Residual LightGBM,Broad residual model,recommended comparison,2.3324895308136515,3.351796043581268,1.8055903498194896,-466532.90906290663,0.32105648107196094,0.2845509340273104,0.7352941176470589,17,391
23,Broad Direct LightGBM,Broad model zoo,recommended comparison,2.340435198970586,3.3554862443550917,1.8155519666504782,-451376.49790431676,0.32105648107196094,0.2845509340273104,0.7352941176470589,17,391
24,Repo XGBoost reg_lambda tuned,Repo regression,xgb.py,2.3521593626667205,3.4737218020054788,1.6499607533508693,-351492.6833940281,0.28903884786237727,0.2839595319653201,0.7132026143790849,17,391
25,Broad Direct Poisson,Broad model zoo,recommended comparison,2.4286030228598237,3.543313157855279,1.806626122535403,-282456.9409064892,0.21234911287249897,0.21463667820069204,0.565359477124183,17,391
26,Repo LightGBM reg_lambda tuned,Repo regression,lgbm.py,2.4369793827093,3.4561303139252435,1.907687967111352,-314078.5422731915,0.3004889222081766,0.2861691927389947,0.6988235294117647,17,391
27,Broad Direct MLP,Broad model zoo,recommended comparison,2.4732237112857813,3.8871036294297445,1.7018619855412833,-736098.7130519652,0.28974252481699453,0.30048104966330835,0.6328104575163398,17,391
28,Broad Residual ElasticNet,Broad residual model,recommended comparison,2.9676499007212476,4.0038430995415695,2.4173299941110034,-395758.017641361,0.18510330627977686,0.26316978507650196,0.4794771241830066,17,391
29,Broad Direct ElasticNet,Broad model zoo,recommended comparison,2.969764277562644,3.996519284548212,2.4280250850491436,-391950.5754752322,0.18566353036941272,0.263513782324524,0.4794771241830066,17,391
30,Broad Direct Huber,Broad model zoo,recommended comparison,3.8578438783305833,4.891261613790828,3.2820026243164975,-313428.6168986836,0.18430510665804783,0.2063620863365109,0.44823529411764707,17,391
