model,source_file,selected_by,MAE_log_units,RMSE_log_units,R2_log_units,MAE_pct_points,RMSE_pct_points,R2_pct_space
Repo Model 3: XGBoost reg_lambda=100,xgb.py,validation R2=-0.3263,0.076431885427178,0.115174176100719,-0.0328008841121369,0.3470174081468304,0.6068403269774423,0.0414931022205927
Repo Model 5b: MLP bug-faithful alpha=100,mlp.py,original final alpha variable,0.0830328656808414,0.1210011493097426,-0.1399488464466578,0.3730399346343476,0.6366482740672086,-0.0549831113712298
Repo Model 1: Ridge Linear Regression alpha=10,models_baseline.py,validation R2=-0.3412,0.1032321188529021,0.219263431697329,-2.743163407104385,0.4126307340568019,0.7573253592921423,-0.4928335069086484
Repo Model 2: Poisson Regression alpha=0.1,poisson.py,validation R2=-0.2727,0.1169597652693649,0.1618184147597211,-1.038741940788675,0.5179071564604448,0.7475617884018219,-0.454589887085008
Repo Baseline 3: Global Mean,models_baseline.py,train mean,0.1220526555746621,0.1415549333303853,-0.5601142070436693,0.5432207488303997,0.7023885896235661,-0.2841071696000865
Repo Model 4: LightGBM reg_lambda=10,lgbm.py,validation R2=0.0414,0.1497959850538163,0.1795044477011018,-1.5087466196514518,0.6875387646014802,0.8747695817345577,-0.991744933528357
Repo Baseline 2: Historical Average,models_baseline.py,direct baseline,0.3623630797335422,0.527839968616147,-0.3603981904066535,2.666802210773731,7.800138143760432,-0.0731425855652589
Repo Baseline 1: Last Year's Value,models_baseline.py,direct baseline,0.3748712783971434,0.6308090320768053,-0.9429306835154878,3.615504854229304,10.732823128871102,-1.0317992033390515
Repo Model 5: MLP corrected alpha=0.1,mlp.py,validation R2=-0.2477,0.4897225240996038,0.723724062772027,-39.78048604733342,3.924250724415404,8.229944052294227,-175.29505914919875
